,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
107,0 days 00:00:21.139292,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
108,0 days 00:00:21.342367,106,121,121,110,106,133,135,134,134,255,255,255,255,255,255,255,255,255
109,0 days 00:00:21.529891,105,120,120,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
110,0 days 00:00:21.733003,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
111,0 days 00:00:21.936079,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
112,0 days 00:00:22.123573,105,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
113,0 days 00:00:22.326716,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
114,0 days 00:00:22.529791,106,121,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
115,0 days 00:00:22.717315,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
116,0 days 00:00:22.920427,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
117,0 days 00:00:23.123501,106,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
118,0 days 00:00:23.311024,106,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
119,0 days 00:00:23.514315,106,120,121,109,106,132,135,134,134,255,255,255,255,255,255,255,255,255
120,0 days 00:00:23.717430,106,121,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
121,0 days 00:00:23.904916,106,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
122,0 days 00:00:24.108029,106,121,122,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
123,0 days 00:00:24.311142,105,121,121,110,107,132,135,134,134,255,255,255,255,255,255,255,255,255
124,0 days 00:00:24.498631,106,121,121,110,107,133,135,134,135,255,255,255,255,255,255,255,255,255
125,0 days 00:00:24.701741,105,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
126,0 days 00:00:24.904853,105,121,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
127,0 days 00:00:25.092344,105,120,121,110,106,132,135,134,135,255,255,255,255,255,255,255,255,255
128,0 days 00:00:25.295452,106,120,121,110,106,132,135,134,134,255,255,255,255,255,255,255,255,255
129,0 days 00:00:25.482945,106,121,121,111,107,132,135,134,135,255,255,255,255,255,255,255,255,255
130,0 days 00:00:25.686048,105,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
131,0 days 00:00:25.889163,105,121,121,110,107,132,135,134,135,255,255,255,255,255,255,255,255,255
