,timestamp,d0,d1,d2,d3,d4,d5,d6,d7,d8,c0,c1,c2,c3,c4,c5,c6,c7,c8
192,0 days 00:00:37.971264,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
193,0 days 00:00:38.174388,123,141,139,133,127,149,152,151,151,255,255,255,255,255,255,255,255,255
194,0 days 00:00:38.377509,123,141,139,133,127,149,152,151,150,255,255,255,255,255,255,255,255,255
195,0 days 00:00:38.565014,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
196,0 days 00:00:38.768139,123,141,139,133,127,149,151,151,151,255,255,255,255,255,255,255,255,255
197,0 days 00:00:38.971258,123,141,140,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
198,0 days 00:00:39.158762,123,141,139,133,127,151,151,151,150,255,255,255,255,255,255,255,255,255
199,0 days 00:00:39.361888,123,141,140,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
200,0 days 00:00:39.565008,123,141,140,133,128,149,151,152,150,255,255,255,255,255,255,255,255,255
201,0 days 00:00:39.752513,123,141,139,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
202,0 days 00:00:39.955639,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
203,0 days 00:00:40.158750,123,141,140,133,128,151,152,152,150,255,255,255,255,255,255,255,255,255
204,0 days 00:00:40.346263,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
205,0 days 00:00:40.549389,123,141,140,133,128,151,151,152,150,255,255,255,255,255,255,255,255,255
206,0 days 00:00:40.752508,123,141,140,133,127,151,152,151,150,255,255,255,255,255,255,255,255,255
207,0 days 00:00:40.940013,123,141,139,133,127,149,151,151,150,255,255,255,255,255,255,255,255,255
208,0 days 00:00:41.143148,123,141,140,133,127,149,151,152,150,255,255,255,255,255,255,255,255,255
209,0 days 00:00:41.346258,123,141,140,133,127,151,152,152,150,255,255,255,255,255,255,255,255,255
