Unnamed: 0,battery_level,device,floor_calib,height,height_std,hum_in,hum_out,pressure,start_calib,temp,temp_in,temp_out,time,wake_reason,wifi_rssi
,73.4,ESP32-S2,73.0,119.75,14.25,99.9,52.61,,18.0,,18.3,18.72,2023-12-30 23:00:25.854213085+00:00,timeout,-52.0
,74.4,ESP32-S2,73.0,120.0,13.96,99.9,52.71,,18.0,,18.3,18.7,2023-12-30 23:04:23.933686200+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,119.75,14.39,99.9,52.92,,18.0,,18.3,18.69,2023-12-30 23:08:22.626262811+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,124.44,14.1,99.9,52.91,,18.0,,18.4,18.74,2023-12-30 23:12:20.365365398+00:00,timeout,-53.0
,69.4,ESP32-S2,73.0,120.86,13.28,99.9,53.06,,18.0,,18.3,18.7,2023-12-30 23:16:18.657809900+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,123.58,14.84,99.9,53.22,,18.0,,18.3,18.71,2023-12-30 23:20:17.343563962+00:00,timeout,-53.0
,69.4,ESP32-S2,73.0,124.32,14.72,99.9,53.12,,18.0,,18.3,18.72,2023-12-30 23:24:15.059926232+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,124.81,14.32,99.9,53.22,,18.0,,18.3,18.72,2023-12-30 23:28:13.858916612+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,124.69,14.53,99.9,53.05,,18.0,,18.3,18.72,2023-12-30 23:32:11.835989+00:00,timeout,-53.0
,73.4,ESP32-S2,73.0,126.17,14.04,99.9,53.1,,18.0,,18.3,18.72,2023-12-30 23:36:09.652648308+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,126.67,15.4,99.9,53.24,,18.0,,18.3,18.73,2023-12-30 23:40:08.374231030+00:00,timeout,-54.0
,71.4,ESP32-S2,73.0,126.79,14.78,99.9,53.27,,18.0,,18.3,18.73,2023-12-30 23:44:06.083102141+00:00,timeout,-53.0
,74.4,ESP32-S2,73.0,128.4,15.05,99.9,53.38,,18.0,,18.4,18.72,2023-12-30 23:48:04.785965788+00:00,timeout,-53.0
,68.4,ESP32-S2,73.0,128.77,14.72,99.9,53.28,,18.0,,18.4,18.73,2023-12-30 23:52:03.273690061+00:00,timeout,-54.0
,68.4,ESP32-S2,73.0,130.86,16.1,99.9,53.38,,18.0,,18.3,18.72,2023-12-30 23:56:00.636783049+00:00,timeout,-52.0
,71.4,ESP32-S2,73.0,130.86,15.72,99.9,53.51,,18.0,,18.3,18.75,2023-12-30 23:59:59.447633077+00:00,timeout,-53.0
,72.4,ESP32-S2,73.0,130.25,15.59,99.9,53.45,,18.0,,18.3,18.7,2023-12-31 00:03:57.527583140+00:00,timeout,-54.0
,73.4,ESP32-S2,73.0,132.59,15.66,99.9,53.55,,18.0,,18.3,18.69,2023-12-31 00:07:56.432278879+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,133.09,15.55,99.9,53.54,,18.0,,18.3,18.68,2023-12-31 00:11:54.303552274+00:00,timeout,-53.0
,73.4,ESP32-S2,73.0,133.33,15.75,99.9,53.66,,18.0,,18.3,18.68,2023-12-31 00:15:51.667631638+00:00,timeout,-53.0
,71.4,ESP32-S2,73.0,133.33,15.56,99.9,53.56,,18.0,,18.3,18.68,2023-12-31 00:19:50.156068437+00:00,timeout,-54.0
,68.4,ESP32-S2,73.0,135.06,14.62,99.9,53.7,,18.0,,18.3,18.68,2023-12-31 00:23:48.444497543+00:00,timeout,-53.0
,71.4,ESP32-S2,73.0,136.17,14.67,99.9,53.88,,18.0,,18.3,18.69,2023-12-31 00:27:46.620585768+00:00,timeout,-53.0
,68.4,ESP32-S2,73.0,133.95,15.57,99.9,53.85,,18.0,,18.3,18.69,2023-12-31 00:31:44.608057632+00:00,timeout,-54.0
,70.4,ESP32-S2,73.0,136.3,14.32,99.9,53.6,,18.0,,18.3,18.73,2023-12-31 00:35:42.177382958+00:00,timeout,-53.0
,73.4,ESP32-S2,73.0,138.4,13.92,99.9,53.63,,18.0,,18.3,18.69,2023-12-31 00:39:40.842288846+00:00,timeout,-53.0
,70.4,ESP32-S2,73.0,139.38,14.55,99.9,53.69,,18.0,,18.3,18.7,2023-12-31 00:43:39.163692979+00:00,timeout,-54.0
,72.4,ESP32-S2,73.0,138.15,13.61,99.9,53.79,,18.0,,18.3,18.7,2023-12-31 00:47:37.447487765+00:00,timeout,-54.0
,72.4,ESP32-S2,73.0,139.26,14.45,99.9,54.12,,18.0,,18.3,18.71,2023-12-31 00:51:35.735238064+00:00,timeout,-54.0
,71.4,ESP32-S2,73.0,142.59,14.14,99.9,54.47,,18.0,,18.3,18.72,2023-12-31 00:55:33.820888151+00:00,timeout,-54.0
,73.4,ESP32-S2,73.0,142.59,14.14,99.9,54.23,,18.0,,18.3,18.7,2023-12-31 00:59:32.725070140+00:00,timeout,-53.0
