time,battery_level
2023-12-31 12:54:08.316608721+00:00,60.4
2023-12-31 12:58:06.503715522+00:00,62.4
2023-12-31 13:02:04.454205087+00:00,62.4
2023-12-31 13:06:03.174243264+00:00,62.4
2023-12-31 13:10:00.954143998+00:00,63.4
2023-12-31 13:13:59.396333801+00:00,60.4
2023-12-31 13:17:57.427418977+00:00,62.4
2023-12-31 13:21:55.504624725+00:00,64.4
2023-12-31 13:25:53.691580525+00:00,60.4
2023-12-31 13:29:51.975517601+00:00,59.4
2023-12-31 13:33:50.161111456+00:00,64.4
2023-12-31 13:37:48.445073812+00:00,62.4
2023-12-31 13:41:46.534548732+00:00,62.4
2023-12-31 13:45:44.620995207+00:00,59.4
2023-12-31 13:49:43.206877391+00:00,59.4
2023-12-31 13:53:41.370182990+00:00,61.4
2023-12-31 13:57:39.369705020+00:00,61.4
2023-12-31 14:01:37.760772139+00:00,60.4
2023-12-31 14:05:36.047692880+00:00,64.4
2023-12-31 14:09:34.340124771+00:00,62.4
2023-12-31 14:13:32.212636694+00:00,58.4
2023-12-31 14:17:30.285626057+00:00,59.4
2023-12-31 14:21:28.387189126+00:00,57.4
2023-12-31 14:25:26.457447080+00:00,59.4
2023-12-31 14:29:24.541265060+00:00,56.4
2023-12-31 14:33:23.245710508+00:00,60.4
2023-12-31 14:37:21.013080484+00:00,57.4
2023-12-31 14:41:19.095241404+00:00,56.4
2023-12-31 14:45:16.974275370+00:00,56.4
2023-12-31 14:49:15.155523608+00:00,55.4
2023-12-31 14:53:14.057295712+00:00,53.4
2023-12-31 14:57:11.223369672+00:00,55.4
2023-12-31 15:01:09.309981974+00:00,55.4
2023-12-31 15:13:02.319659547+00:00,53.4
2023-12-31 15:24:55.952990205+00:00,53.4
2023-12-31 15:36:49.182158904+00:00,55.4
2023-12-31 15:48:43.117901671+00:00,53.4
2023-12-31 16:00:37.467057153+00:00,52.4
2023-12-31 16:12:30.076928641+00:00,52.4
2023-12-31 16:24:23.192403959+00:00,52.4
2023-12-31 16:36:16.425700171+00:00,51.4
2023-12-31 16:48:10.361744278+00:00,51.4
2023-12-31 17:00:04.299192366+00:00,52.4
2023-12-31 17:11:58.234874272+00:00,51.4
2023-12-31 17:23:52.175036974+00:00,53.4
2023-12-31 17:35:46.011717478+00:00,51.4
2023-12-31 17:47:39.744022326+00:00,55.4
2023-12-31 17:59:33.862627358+00:00,52.4
2023-12-31 18:11:27.118850200+00:00,50.4
2023-12-31 18:23:21.265273343+00:00,53.4
2023-12-31 18:35:15.984256146+00:00,55.4
2023-12-31 18:47:09.512434566+00:00,52.4
2023-12-31 18:59:03.280283589+00:00,52.4
2023-12-31 19:10:57.299628729+00:00,55.4
2023-12-31 19:22:50.748900999+00:00,53.4
2023-12-31 19:34:44.391747821+00:00,51.4
2023-12-31 19:46:38.297831888+00:00,51.4
2023-12-31 19:58:31.344862783+00:00,50.4
2023-12-31 20:10:25.498859016+00:00,54.4
2023-12-31 20:22:19.117632508+00:00,55.4
2023-12-31 20:34:13.548248368+00:00,51.4
2023-12-31 20:46:06.592560373+00:00,52.4
2023-12-31 20:58:00.783740189+00:00,49.4
2023-12-31 21:09:54.370944890+00:00,50.4
2023-12-31 21:21:47.282519606+00:00,50.4
2023-12-31 21:33:41.118744544+00:00,53.4
2023-12-31 21:45:35.161113636+00:00,53.4
2023-12-31 21:57:28.895636928+00:00,53.4
2023-12-31 22:09:23.143329441+00:00,55.4
2023-12-31 22:21:16.665535095+00:00,47.4
2023-12-31 22:33:10.404428477+00:00,48.4
2023-12-31 22:45:04.139021442+00:00,50.4
2023-12-31 22:56:57.874734255+00:00,53.4
2023-12-31 23:08:51.709769393+00:00,48.4
2023-12-31 23:20:45.649962504+00:00,53.4
2023-12-31 23:32:39.586056951+00:00,52.4
2023-12-31 23:44:33.732396870+00:00,54.4
2023-12-31 23:56:27.467931511+00:00,48.4
